x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,1.639500721300425994e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.639500721300425994e+02
-0.000000000000000000e+00,0.000000000000000000e+00,1.639500721300425994e+02
-0.000000000000000000e+00,0.000000000000000000e+00,1.639500721300425994e+02
-0.000000000000000000e+00,-0.000000000000000000e+00,1.639500721300425994e+02
-0.000000000000000000e+00,-0.000000000000000000e+00,1.639500721300425994e+02
0.000000000000000000e+00,-0.000000000000000000e+00,1.639500721300425994e+02
0.000000000000000000e+00,-0.000000000000000000e+00,1.639500721300425994e+02
7.113527032437623632e+01,0.000000000000000000e+00,1.477139108795244340e+02
4.435211559971278916e+01,5.561579385347111781e+01,1.477139108795244340e+02
-1.582908678981509176e+01,6.935176057983376552e+01,1.477139108795244340e+02
-6.409066397208580668e+01,3.086443707147864046e+01,1.477139108795244340e+02
-6.409066397208580668e+01,-3.086443707147862625e+01,1.477139108795244340e+02
-1.582908678981510953e+01,-6.935176057983376552e+01,1.477139108795244340e+02
4.435211559971277495e+01,-5.561579385347112492e+01,1.477139108795244340e+02
7.113527032437623632e+01,-1.742311622184581194e-14,1.477139108795244340e+02
1.281813279441716134e+02,0.000000000000000000e+00,1.022211979870853469e+02
7.991975076190091443e+01,1.002161976513123847e+02,1.022211979870853469e+02
-2.852302880989768141e+01,1.249675544333048833e+02,1.022211979870853469e+02
-1.154873859240890113e+02,5.561579385347113202e+01,1.022211979870853469e+02
-1.154873859240890255e+02,-5.561579385347110360e+01,1.022211979870853469e+02
-2.852302880989771339e+01,-1.249675544333048833e+02,1.022211979870853469e+02
7.991975076190088600e+01,-1.002161976513123989e+02,1.022211979870853469e+02
1.281813279441716134e+02,-3.139537059545738972e-14,1.022211979870853469e+02
1.598395015238018289e+02,0.000000000000000000e+00,3.648232317258219837e+01
9.965829913427394615e+01,1.249675544333048975e+02,3.648232317258219837e+01
-3.556763516218811105e+01,1.558319915047835309e+02,3.648232317258219837e+01
-1.440104147339867211e+02,6.935176057983377973e+01,3.648232317258219837e+01
-1.440104147339867211e+02,-6.935176057983375131e+01,3.648232317258219837e+01
-3.556763516218815369e+01,-1.558319915047835309e+02,3.648232317258219837e+01
9.965829913427391773e+01,-1.249675544333049118e+02,3.648232317258219837e+01
1.598395015238018289e+02,-3.914938678368648182e-14,3.648232317258219837e+01
1.598395015238018289e+02,0.000000000000000000e+00,-3.648232317258218416e+01
9.965829913427394615e+01,1.249675544333048975e+02,-3.648232317258218416e+01
-3.556763516218811105e+01,1.558319915047835309e+02,-3.648232317258218416e+01
-1.440104147339867211e+02,6.935176057983377973e+01,-3.648232317258218416e+01
-1.440104147339867211e+02,-6.935176057983375131e+01,-3.648232317258218416e+01
-3.556763516218815369e+01,-1.558319915047835309e+02,-3.648232317258218416e+01
9.965829913427391773e+01,-1.249675544333049118e+02,-3.648232317258218416e+01
1.598395015238018289e+02,-3.914938678368648182e-14,-3.648232317258218416e+01
1.281813279441716418e+02,0.000000000000000000e+00,-1.022211979870853185e+02
7.991975076190092864e+01,1.002161976513124131e+02,-1.022211979870853185e+02
-2.852302880989768852e+01,1.249675544333048975e+02,-1.022211979870853185e+02
-1.154873859240890397e+02,5.561579385347114624e+01,-1.022211979870853185e+02
-1.154873859240890539e+02,-5.561579385347111781e+01,-1.022211979870853185e+02
-2.852302880989772049e+01,-1.249675544333048975e+02,-1.022211979870853185e+02
7.991975076190090022e+01,-1.002161976513124273e+02,-1.022211979870853185e+02
1.281813279441716418e+02,-3.139537059545739604e-14,-1.022211979870853185e+02
7.113527032437626474e+01,0.000000000000000000e+00,-1.477139108795244340e+02
4.435211559971281048e+01,5.561579385347113913e+01,-1.477139108795244340e+02
-1.582908678981509709e+01,6.935176057983377973e+01,-1.477139108795244340e+02
-6.409066397208582089e+01,3.086443707147865467e+01,-1.477139108795244340e+02
-6.409066397208583510e+01,-3.086443707147863691e+01,-1.477139108795244340e+02
-1.582908678981511663e+01,-6.935176057983377973e+01,-1.477139108795244340e+02
4.435211559971279627e+01,-5.561579385347115334e+01,-1.477139108795244340e+02
7.113527032437626474e+01,-1.742311622184581825e-14,-1.477139108795244340e+02
2.007809310540343595e-14,0.000000000000000000e+00,-1.639500721300425994e+02
1.251848629198919274e-14,1.569768529772869802e-14,-1.639500721300425994e+02
-4.467796029876208465e-15,1.957469339184323775e-14,-1.639500721300425994e+02
-1.808973681481469909e-14,8.711558110922909125e-15,-1.639500721300425994e+02
-1.808973681481470225e-14,-8.711558110922904392e-15,-1.639500721300425994e+02
-4.467796029876213198e-15,-1.957469339184323775e-14,-1.639500721300425994e+02
1.251848629198918958e-14,-1.569768529772869802e-14,-1.639500721300425994e+02
2.007809310540343595e-14,-4.917714490902972056e-30,-1.639500721300425994e+02
